2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=38, url=http://fonts.googleapis.com/css?family=Open+Sans:300,400]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=39, url=http://lums.edu.pk/updata/parallax-slider/w617/5_20150430092527_slide.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=40, url=http://fonts.googleapis.com/css?family=Open+Sans:300,400,700]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=41, url=http://lums.edu.pk/updata/parallax-slider/w617/6_20150430092625_slide.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=42, url=http://lums.edu.pk/updata/parallax-slider/w617/7_20150430092811_slide.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=43, url=http://lums.edu.pk/updata/schools/icon_sdsb.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=44, url=http://lums.edu.pk/updata/schools/icon_mgshss.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=45, url=http://lums.edu.pk/updata/schools/icon_sbasse.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=46, url=http://lums.edu.pk/updata/schools/icon_sahsol_new.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=47, url=http://lums.edu.pk/updata/calendar/w320/3407_20150513104635.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=48, url=http://lums.edu.pk/updata/calendar/w320/3401_20150512104256.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=49, url=http://lums.edu.pk/updata/calendar/w320/3405_20150512114549.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=50, url=http://lums.edu.pk/updata/calendar/w320/3398_20150507112212.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=51, url=http://lums.edu.pk/updata/calendar/w320/3404_20150512111957.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=52, url=http://lums.edu.pk/updata/calendar/w320/3382_20150430171011.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=53, url=http://lums.edu.pk/updata/calendar/w320/3402_20150512110757.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=54, url=http://lums.edu.pk/updata/calendar/w320/3386_20150504105917.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=55, url=http://lums.edu.pk/updata/calendar/w320/3384_20150504103016.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=56, url=http://lums.edu.pk/updata/calendar/w320/3374_20150428121857.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=57, url=http://lums.edu.pk/updata/calendar/w320/3378_20150429104249.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=58, url=http://lums.edu.pk/updata/calendar/w320/3359_20150422090307.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=59, url=http://lums.edu.pk/updata/calendar/w320/3335_20150413094959.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=60, url=http://lums.edu.pk/updata/websites/tiny/logo.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=61, url=http://www.google-analytics.com/analytics.js]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=62, url=http://www.lums.edu.pk/calendar_index.php]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=63, url=http://lums.edu.pk/assets/plugins/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=64, url=http://lums.edu.pk/updata/parallax-slider/bg/default-color.jpg]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=65, url=http://lums.edu.pk/assets/plugins/parallax-slider/img/bg-text.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=66, url=http://fonts.gstatic.com/s/opensans/v13/cJZKeOuBrn4kERxqtaUH3VtXRa8TVwTICgirnJhmVJw.woff2]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=67, url=http://lums.edu.pk/assets/plugins/parallax-slider/img/arrows.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=68, url=http://lums.edu.pk/assets/img/icons/social/facebook.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=69, url=http://lums.edu.pk/assets/img/icons/social/twitter.png]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=70, url=http://stats.g.doubleclick.net/dc.js]
2015-05-13 18:21:50,694 INFO  [Main] Node [automated=true, done=true, timestamp=71, url=http://lums.edu.pk/assets/img/icons/social/linkedin.png]
